日期,標題,連結
最新消息,2026年04月份最新優惠活動,https://www.yamaha-motor.com.tw/news/promoList
2026/04/07,【重要公告】體驗全面進化！Yamaha Motor On  全新上線 轉移指南與注意事項,https://www.yamaha-motor.com.tw/news/news-202603-y-connect-twn-notification
2026/04/02,BORN TO CHALLENGE：2026「XSR 700」新色登場,https://www.yamaha-motor.com.tw/news/news-202604-xsr700
2026/03/25,致敬挑戰精神｜Yamaha 70 周年紀念塗裝車型限量導入，26 年式「YZF-R3」&「 YZF-R7 」同步登場,https://www.yamaha-motor.com.tw/news/news-202603-70-anniversary-edition
2026/03/02,TAME THE DARKNESS：2026「MT-15」全新冰霜灰注目登場,https://www.yamaha-motor.com.tw/news/news-202603-mt15
2026/01/31,新車車主回函 中獎名單,https://www.yamaha-motor.com.tw/news/news_202601_Survey
2026/01/30,山葉機車安全駕駛文教基金會積極推廣交通安全教育，榮獲教育部「社會貢獻獎團體獎」,https://www.yamaha-motor.com.tw/news/news-202601-society-contribution-group-award
2026/01/26,「YSP車友回廠 年終感謝祭」中獎名單,https://www.yamaha-motor.com.tw/news/campaign-202601-ysp-service-winning-list
2026/01/26,「YAMAHA 免費健檢 百萬好禮帶回家」中獎名單,https://www.yamaha-motor.com.tw/news/campaign-202601-service-regular-check-winning-list
2026/01/10,台灣山葉機車再度獲頒運動推手獎贊助類金質獎 連續13年獲獎不間斷  持續推動「快樂踢球趣」精神,https://www.yamaha-motor.com.tw/news/news-202601-yamahacup-notification
2026/01/09,台灣山葉機車股權結構調整說明,https://www.yamaha-motor.com.tw/news/news-202601-ymt-stock-shifting
2025/12/23,台灣山葉機車「CUXiE」規格資訊更正事宜,
2025/12/01,2026 年式「TMAX Tech MAX」全新石墨灰馭光亮相 「MT-09」、「MT-07」延續狂放本色同步登場,
2025/11/24,台灣山葉機車「CYGNUS XR」配備調整事宜,
2025/11/11,「智慧加乘．樂享旅程」全新 Y-Connect TWN App用專業數據成就卓悅騎行！,
2025/11/10,2025 MAX車系限定活動|山海輕旅行,
2025/11/10,Yamaha線上商城歡慶雙11  11/11 ~11/18限時開跑,
2025/10/30,CYGNUS X 全台通路店頭試乘活動,
2025/10/30,CUXiE 全台通路店頭試乘活動,
2025/10/30,YAMAHA與您同行，迎向未來：風災損害車輛關懷活動|延展通知,
2025/10/24,『RDNA 車主專屬賽道日-R15/R3專場』心得分享與問卷回饋得獎名單公告,
2025/10/20,《CUXiE 回來了！經典可愛最帶電》活動 I 中獎名單公告,
2025/10/15,Quartararo & Rins 台灣快閃粉絲見面會,
2025/10/13,YSP：「YSP啟動夏日引擎 給您滿格動力」中獎名單,
2025/09/26,YAMAHA 全新「CYGNUS X」即日起正式出車,
2025/09/25,YAMAHA與您同行，迎向未來：風災損害車輛關懷活動,
2025/09/21,Yamaha線上商城歡慶2周年 I 獻給熱愛Yamaha 的你，就是要最熱血的回饋！,
2025/08/01,AUGUR 星馭計畫：任務升級 騎聚出發！,
2025/09/11,政府新購機車貨物稅減徵新政策,
2025/09/11,反詐騙官網聲明-YRA 親子教室,
2025/09/10,台灣山葉機車榮獲「國家企業環保獎」金級獎 樹立傳統製造業永續典範,
2025/09/08,第16屆YAMAHA CUP報名啟動 快樂踢球趣挑戰無限可能,
2025/09/04,全新純電「CUXiE」，經典可愛，最帶電,
2025/09/04,2025全新「NMAX 」真跑旅強勢登場,
2025/09/04,傳承經典，全面進化 — 「CYGNUS」全新世代正式登場,
2025/08/29,RIDE FREE: 「FZ-X」2025改款登場,
2025/08/22,2025國際重型機車展問卷活動 I 中獎名單公告,
2025/08/22,2025 Yamaha Day用感動的行動，連結過去與未來 I 中獎名單公告,
2025/08/22,歐兜邁冒險趣台灣篇 I 中獎名單公告,
2025/08/21,報名開催：Quartararo & Rins 台灣快閃粉絲見面會,
2025/08/21,購買大型重機月月抽日本 MotoGP 應援の旅｜八月最終回中獎名單,
2025/08/15,超能把拔 一起出發 「勁豪 125」新色登場,
2025/08/14,2025 YAMAHA 一気乗リ重機試乘會,
2025/08/11,Sharp in the Dark：2025「MT-03」銳利登場,
2025/08/07,Yamaha 旅遊地圖-Hakka騎旅 漫遊山城,
